k,mean_overlap,std_overlap,mean_dist_divergence,std_dist_divergence,mean_barycenter_shift,std_barycenter_shift,lid_exact,lid_ann,mean_lid_diff,std_lid_diff
5,0.9952840000000001,0.043961305782468735,0.00025045719085028397,0.0036703332560136916,0.00026379624760011213,0.002235737256705761,14.23973970413208,14.309465789794922,0.06972584137693047,4.2554960489273075
10,0.994696,0.03729571409665834,0.00023842864466132595,0.002579947782214731,0.0002849045267794281,0.0017135452129878105,11.095737552642822,11.133311939239501,0.03757432987913489,2.12907874584198
15,0.9938573333333334,0.03518040771020526,0.0002490991973900236,0.0021173686371184887,0.00031993949087336657,0.0015120798023417592,10.09971513748169,10.119316482543946,0.019601317233173175,1.5614951372146606
20,0.9928625,0.03443854059633658,0.0002712530098506249,0.0018880658433772623,0.0003655457025161013,0.0014204766834154726,9.598255729675293,9.601327419281006,0.0030711772153154014,1.3269144773483277
25,0.9916844000000001,0.03462507921128184,0.0003015650785528123,0.0017652308335527778,0.00042167593783233316,0.001382329419720918,9.284446811676025,9.267320346832275,-0.017126512550748884,1.1370165765285491
30,0.9903023333333334,0.035487839743496286,0.00033931444049812854,0.0017002479638904334,0.0004870599106652662,0.0013678837567567825,9.077220344543457,9.047106075286866,-0.03011440336704254,0.9959326028823853
35,0.9887354285714286,0.0364946087362498,0.00038361939950846133,0.0016676884493790566,0.0005636559391859919,0.0013732466264627873,8.941715431213378,8.895821571350098,-0.04589363560080528,0.9145302653312684
40,0.9868264999999999,0.03788991391676665,0.00043667705613188447,0.0016602644347585738,0.0006534713320434093,0.0013889326015487312,8.844691753387451,8.78028221130371,-0.06440986096858978,0.8275142073631286
45,0.9847495555555555,0.03945465033710977,0.000497599461232312,0.0016710910014808178,0.0007488265284337104,0.0014052860089577735,8.775067234039307,8.696356391906738,-0.0787105992436409,0.795654970407486
50,0.9823850000000001,0.041005599985008453,0.0005684243806172162,0.001695196982473135,0.0008445704530458898,0.0014106511254794896,8.726911544799805,8.628007507324218,-0.0989041954278946,0.7590135216712952
55,0.9796918181818182,0.042633915823848886,0.0006518992420751601,0.0017328592482954263,0.0009549255832098424,0.0014100540895015002,8.691397190093994,8.570922660827637,-0.12047479301691055,0.7271651744842529
60,0.9764298333333332,0.04459584817616942,0.0007548346417024732,0.0017849269206635654,0.0011017446406185627,0.0014325100695714355,8.667543888092041,8.524787044525146,-0.14275704473257064,0.7008280694484711
65,0.972653076923077,0.046597932705906064,0.0008834311331156642,0.0018607632140628994,0.0012734316056594252,0.0014642064808867872,8.652966403961182,8.484482669830323,-0.16848366856575012,0.6904776394367218
70,0.9684404285714286,0.048709642582522646,0.00103822925593704,0.0019588484661653637,0.0014587313984520734,0.0014902833849191667,8.648812389373779,8.451029205322266,-0.19778311848640442,0.6895108044147491
